Requirement Number,Status,Operating Entity,Group,Unit/ Directorate,Owner Ranking,Title,Justification,Impact if not Funded,"Priority Level (0, 1, 2, A, E)",PEC,BA,SAG,Panel,EEIC,Object Class,ESP,Cost Center,AAI , Requirement Total , Wing Funded Total  , Unfunded Total based on Wing Funded ,PEM Remarks,HQ FMA Remarks, EP Funded Amount , Unfunded Amount Based on EP Funding , Need By Date ,Method of Purchase,Is Recurring,Final FY,Is Civ Pay,Contract Number ,PoP Start Date,PoP End Date,Created By Org,AFGSC/FMAO Reveiwed By
,,F6790,Mission Support Group,2 FSS,,TDY - Manpower  ,"TDY estimates for 4 personnel for attendence at required training, Manpower Symposiums at TBD locations, Gapingvoid Culture Design Group (https://www.gapingvoid.com/) teaching/training, Air Force Self-Improvement effort events held at Kirtland AFB, NM and other manpower and CPI related events requested by our customers at TBD slocation(4 * $3K) is included in this amount.","Level of service expectations will not be met in normal day to day processes, as well as events hosting leadership and other personnel from all the units across Barksdale. Non-attendence at events, symposiums, and training opportunities puts members at a skill level disadvantage because all Manpower requires the latest technology/teaching/supplies to be successful, as well as the wing for completing projects that are designed to lead to savings across the wing.",2,18560F,,011Z,P,40924,2101101,,3A41D0,387700,"12,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Mission Support Group,2 CS,,MILCON Furnishings ,"Initial purchase of office furnishings for new military construction, restoration and modernization project for new communications facility, building 3458, to be complete July 2021. This furniture project will execute procurement of collateral equipment associated with facilities restoration and modernization project, including projects in the Military Construction program. Office furniture for MILCON building ( SCOI, SCOO, SCOK, SCOS, SCOT, SCX)",2CS will not be able to move into the new facility. (Not previously funded),2,33005F,,011Z,Y,6390B,3106311,,3A4200,387700,"600,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Mission Support Group,2 SFS,,SkyRadier Drones,"The SkyRaider  Drone gives fast, high definition video and gives patrols the capability to assess the fenceline, which currently it takes a dedicated patrol 2 hours to conduct perimeter fence checks.  Deviation 12-02 with compensatory measure of utilizing government vehicles for check","Funding this requirement would drastically improve the ability of Security Forces 4x over to include but not limited to identifying breaches in installation security measures. As demonstrated on 23 Dec 20 aircraft accident on the East Reservation, Drones from Bossier Parrish Sheriff's Department were able to assist with the discovery and recovery of the deceased and aircraft.  The payoff for funding would be very large: approximately 1.4K hours saved yearly will improve response times, increase  training accessability, increase RAM's, etc.",2,28047F,,012C,N,639CE,3101175,,3A4380,387700,"175,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Mission Support Group,2 SFS,,Delta Barriers,ECFs/ACPs must be provided with active vehicle barriers (AVB) to enable the ECF/ACP to be closed (fully contained) and to prevent a threat vehicle from breaching the security. ,Possible unauthorized vehicle entry at any time.  ,2,28047F,,012C,N,63902,3106303,,3A4380,387700,"242,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Mission Support Group,2 SFS,,"Alt Armory Weapon Racks, two 4-Seater Side-by-sides, and UVIS","Purchasing the approved weapons racks will allow for accountibility to run a smoother space  and outfit the vault properly to maximise the space in it. Side by Sides: For Game Wardens  to respond to stranded or injured hunters on the East Reservation. UVIS: This method of visual inspection doesn’t  require personnel to go under vehicles, which limits sight from the overwatch.  Implementation of this system will result in overwatch having less moving personnel to observe which results in a safer environment for searchers.  ","Will degrade the ability to have an Alternate Armory for the 2 BW also funding this requirement would drastically improve the ability that Combat Arms Instructors can properly manage all the guns used to train all Airmen in the 2BW. The new mission going forward will increase the number of weapons and training needed. Also, the Combat Arms Vault will be the new alternate armory and needs to be fitted properly to arm up the 2 SFS in case of an emergency. Side by Sides: Would take more time for patrols to respond to incidents. UVIS: Less advanced search capability as searchers only options are the search trench, hand mirrors, and flash lights.  Leadership will have to accept the additional risk to personnel and resources from an explosive that could be brought on the installation due to it being missed during a manual search.",2,28047F,,012C,N,61900,2603301,,3A4380,387700,"276,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Mission Support Group,2 SFS,,Skiff Boat,Shallow water survelliance for Game Wardens,"Unable to survey parts of the many lakes on base,",2,28047F,,012C,N,61950,2603312,,3A4380,387700,"11,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Mission Support Group,2 SFS,,LPR UPDATES VICADS,To upgrade current LPR's to enhance security measures at all Installations Entry Control Points (IECP).    ,"The LPR’s will improve the abilities of the Installation Entry Controllers (IEC) to be able to identify any suspicious vehicles entering the installation.  The units will alert IEC’s of any stolen vehicles, plates or vehicles of interest so they can take appropriate action.    ",2,28047F,,012C,N,63900,3106301,,3A4380,387700,"50,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Tenant Support,OSI,,Operating Supplies,"Daily operation cost for OSI. Covers all cost to include outfitting vehicles, sexaual assault kits and daily office supplies.","Lack of funding will prevent the abilty to effectively run/manage criminal investigations and operations:  Sexual Assault Exam Kits will will not be able to be performed; Personnel will be unable to telework/connect to network;  Agents will be unreachable and unable to respond to crime scenes; Agents will also be unable to coordinate with law enforcement counterparts as well as other base agencies while out of the office.  Additionally, without upgraded equipment, agents will be unable to conduct analysis of digital media and will not have enough storage to properly maintain evidence",,18534F,,11Z,N,61950,2603312,,K0HJ20,387700,"39,000.00",,,,,,,,,,,,,,,,
,,F6790,WSA,CP,,Unify/Siements Sustainment Contract,Funds required to provide sustainment and 24/7/365 priority response to Barksdale Command Post C2 Communications System valued at over $375K.,"If not funded, CP will not be able to continue providing 24/7/365 critical telephone communication on behalf of the Installation. If the phones fail, we need to have access to SME’s that can provide troubleshooting support. ",,11113F,,011A,,50301,2401101,,300120,," $37,000.00 ",,,,,,,,Form 9,,,,,,,,
,,F6790,WSA,CP,,UPS Warranty and UPS Batteries,Funds required to replace all UPS batteries that will be at End of Life FY22; failure to support could jepordize continued operation of NC2/NC3 faility. Requirement also supports the continious operation of the UPS Warranty.,"If not funded, CP could lose critical NC3 systems and not be able to receive HHQ directives which will impact the installations response. ",,11113F,,011A,,61950,2603301,,300120,," $26,000.00 ",,,,,,,,GPC,,,,,,,,
,,F6790,WSA,CP,,NIPR/SIPR Scanner/Printer Contract,Funds needed to support high volume printing/scanning for C2 mission reporting and daily operations.,"If not funded, CP will not have access to printing capabilities and will be unable to print HHQ directives that we’re required to maintain hard copies of. ",,11113F,,011A,,50301,2401101,,300120,," $6,700.00 ",,,,,,,,MIPR,,,,,,,,
,,F6790,WSA,CP,,GPC Purchases,"Funds needed for Sustainment for CP Facility, NC3 Equipment, and office supplies and products supporting no-fail NC3 Mission for COCOM, AFGSC, and 2 BW.","If not funded, CP can’t sustain day-to-day operations as a 24/7/365 facility. CP also receives a significant amount of DV visits and the facility needs improvements to support this.  ",,11113F,,011A,,61950,2603312,,300120,," $20,700.00 ",,,,,,,,GPC,,,,,,,,
,,F6790,WSA,CP,,Operational training and developmental TDYs,"Funds required for mandatory Training Course attendance for CP Managers, Training Managers, and NC2 Controllers for certified performance of NC2 and NC3 missions supporting JCS, COCOM, and AF. Directly relates to security and readiness. Without these trainings and TDYs we will not have NC2 controllers thus resulting in an untrained, unlethal squadron.","If not funded, CP will not be able to meet AFMAN 10-207 certification requirements and will not be able to maintain 24/7/365 manning support. ",,11113F,,011A,,40924,2101101,,300120,," $7,000.00 ",,,,,,,,Travel,,,,,,,,
,,F6790,WSA,CP,,Reserve Man Days,Funds needed to support Reserve Manpower Days during High Ops Tempo and Large Scale Exercises.,"If not funded, CP will not be able to fill temporary manning vacancies with Reserve personnel leading to console/management shortfalls and will impact the 24/7/365 Command Post requirement. ",,11113F,,011A,,409,2101101,,300120,," $4,000.00 ",,,,,,,,Travel,,,,,,,,
,,F6790,WSA,CCA,,GPC Purchases,"To sustain communication equipment (ie. Cell phones, iPads, VOIP, VIPR, VTC) and office supplies for Wing Commander, Vice Commander, Command Chief Master Sergeant and Command section Executive personnel which will allow key leadership to accomplish mission requirements. Information Technology ($50K), ALSCO Cleaning Contract $50 x 12, Toner Purchase $1,000 x 12, Quarterly Awards $1,500 x 4, Annual Awards ($2,600), Monthly Office Supplies $1,500 x 12, AT&T $900 x 12.","If not funded, 2 BW Command Staff would not be able to properly execute day-to-day comms for meetings, emergency phone calls, and secure comms with NAF and MAJCOM.  Award winners will be unable to receive hardware for their accomplishments and morale would drastically decrease. Administrative functions such as emails, printing, training, and scheduling would be impossible. Building upkeep would decrease, increasing the man hours on service members.",,11113F,01,011A,,61950,2603312,,300000,," $101,400.00 ",,,,,,,,GPC,,,,,,,,
,,F6790,WSA,CCA,,Unit Vehicle Fuel,"Fuel for 1 Wing Staff vehicle in support of mission requirements for the Wing Headquarters. Without the funds, we will not be able to fuel the car and the requirements will not be met.","If not funded, 2BW command staff would be unable to transport materials for protocol event set-ups",,11113F,01,011A,,641,2601301,,300000,," $1,000.00 ",,,,,,,,Fuel,,,,,,,,
,,F6790,WSA,CCA,,TDY Travel,"Funding for the Wing Commander, Vice Commander, Command Chief Master Sergeant and Command section Executive personnel to attend Nuclear 300/400 training, Wing Leadership Development seminars, Strategic Deterrence Symposium, Capital Hill visits, Chief Leadership Course, and other travel to support the nuclear mission.","If not funded, 2 BW command staff will be unable to attend key leadership meetings, symposiums, and other visits that provide information and resources on Wing operations as well as professional development .",,11113F,01,011A,,40924,2101101,,300000,," $82,000.00 ",,,,,,,,Travel,,,,,,,,
,,F6790,WSA,CPTS,,GPC Purchases,"Data analytics and mgmt concpets courses, Kiosk service, supplies ",Not funded will limit or stop daily ops ,,18534F,,011Z,,61950,2603312,,300500,," $37,140.00 ",,,,,,,,GPC,,,,,,,,
,,F6790,WSA,CPTS,,Operational training and developmental TDYs,"FSO Conf, PDI, AFIMSC Budget, AFAFO, GPC/GTC. QA conf, CSR,Superintendents Course, DDO, System Admin certification ",If not funded will make FM prsnl not qualified due to expired/not completed certifications ,2,18534F,,011Z,,40924,2101101,,300500,," $47,700.00 ",,,,,,,,Travel,,,,,,,,
,,F6790,WSA,EO,,GPC Purchases,Office supplies and equipment to support and sustain the mission. We need this equipment to ensure we are preparing and warranting the best practices for Military Equal Opportunity.,"If not funded, 2 BW EO office will be unable to conduct daily operations in support of 2 BW personnel. ",,88716F,04,042A,,61950,2603312,,300140,," $23,300.00 ",,,,,,,,GPC,,,,,,,,
,,F6790,WSA,EO,,Mandated operational training TDYs,"If not funded, the United States Air Force risks being non-compliant with requirements prescribed by the Equal Employment Opportunity Commission Management Directive for 29 C.F.R. Part 1614 (EEO-MD-110) chapter 2 section II.A., and AFI 36-2706 para 1.52.9., ultimately risking decertification of all 2 BW/EO Counselors, and potential sanction by the Commission’s Office of Federal Operations or Administrative Judge.  Average TDY cost is projected to cover airfare, lodging, rental, per diem, and training fees).","If not funded, all 2 BW EO counselors will risk decertification, ultimately risking potential sanctions by the Commission’s Office for violating EEO-MD-110 ch 2 sec II and AFI 36-2710 par 8.2.2.2",,88716F,04,042A,,40924,2101101,,300140,," $15,000.00 ",,,,,,,,Travel,,,,,,,,
,,F6790,WSA,IG,,GPC Supplies ,Supports inspection/office supplies for 15 personnel office to include materials needed to cover the Wing Inspection Program.,funding lost would affect the IG ability to transcribe documentation for Complaints Resolution cases.,,18534F,01,011Z,,61950,2603312,,3001A0,," $20,600.00 ",,,,,,,,GPC,,,,,,,,
,,F6790,WSA,IG,,Operationa training and developmental TDYs,Required training courses and annual IG summit per AFI 90-201 and Required to bring in SMEs to accomplish AFI 90-201 Attch 3 requirements,"IG funding lost would deny new IG team members access to the training courses required to become fully certified inspectors and/or qualified for Complaints Resolution.  IG funding lost would also be detrimental to the ability for bringing in personnel with concentrated career field expertise for wing level inspections/exercises, therefore, degrading the 2 BW Inspection System.",,18534F,01,011Z,,40924,2101101,,3001A1,," $19,400.00 ",,,,,,,,Travel,,,,,,,,
,,F6790,WSA,JA,,Copier rental and maintenance,"Funding for the annual lease, with service maintenance, of 2 multi-purpose copier, printer and fax machines to help accomplish mission requirements.","If not funded it will stop court operations.  Unable to print cases, evidence and other important documents.",,18534F,,,,50301,,,300190,," $6,800.00 ",,,,,,,,MIPR,,,,,,,,
,,F6790,WSA,JA,,GPC Supplies,"To support the legal mission, JA is required to purchase legal publications and other resource materials. Additionally JA requires office supplies and equipment to complete their primary mission of the legal processes of administering military justice actions, supporting legal services for all active duty members, their dependents, contractor personnel who are authorized service and a large retirement community.  JA also supports the wing tax program with all required resources needed to complete quality of life processes.",Not funding will limit or stop daily ops.,,18534F,,,,61950,,,300190,," $40,100.00 ",,,,,,,,GPC,,,,,,,,
